No.,EPC,Last Record Time
79,e2801170000002161d2dd45b,2022-02-15 22:44:39
80,e2801170000002161d2dd44b,2022-02-15 22:44:42
81,e2801170000002161d2d6a6e,2022-02-15 22:44:44
82,e2801170000002161d2d6c2c,2022-02-15 22:44:47
83,e2801170000002161d2dc24c,2022-02-15 22:44:50
84,e2801170000002161d2dc28c,2022-02-15 22:45:11
85,e2801170000002161d2dd40c,2022-02-15 22:45:14
86,e2801170000002161d2dd42c,2022-02-15 22:45:16
87,e2801170000002161d2e080c,2022-02-15 22:45:18
88,e2801170000002161d2dd49c,2022-02-15 22:45:21
89,e2801170000002161d2d5a5d,2022-02-15 22:45:27
90,e2801170000002161d2d6c0c,2022-02-15 22:45:31
91,e2801170000002161d2d6c3d,2022-02-15 22:45:33
92,e2801170000002161d2dc2bd,2022-02-15 22:45:36
93,e2801170000002161d2dc22d,2022-02-15 22:45:38
94,e2801170000002161d2dc25d,2022-02-15 22:45:42
95,e2801170000002161d2dc2cd,2022-02-15 22:45:44
96,e2801170000002161d2dc21c,2022-02-15 22:45:47
97,e2801170000002161d2d6c2d,2022-02-15 22:45:49
98,e2801170000002161d2d6cfd,2022-02-15 22:45:51
99,e2801170000002161d2dc20d,2022-02-15 22:45:58
100,e2801170000002161d2da0ad,2022-02-15 22:46:00
101,e2801170000002161d2d6ccd,2022-02-15 22:46:03
102,e2801170000002161d2d5aad,2022-02-15 22:46:05
103,e2801170000002161d2d5afd,2022-02-15 22:46:09
104,e2801170000002161d2d6c4d,2022-02-15 22:46:12
105,e2801170000002161d2d5a6d,2022-02-15 22:46:16
106,e2801170000002161d2d5a7d,2022-02-15 22:46:18
107,e2801170000002161d2dc2dd,2022-02-15 22:46:21
108,e2801170000002161d2dc24d,2022-02-15 22:46:23
109,e2801170000002161d2d5a8d,2022-02-15 22:46:29
110,e2801170000002161d2dc29d,2022-02-15 22:46:32
111,e2801170000002161d2dd4ec,2022-02-15 22:46:34
112,e2801170000002161d2dd4ac,2022-02-15 22:46:36
113,e2801170000002161d2e3c8b,2022-02-15 22:46:38
114,e2801170000002161d2e2aab,2022-02-15 22:46:44
115,e2801170000002161d2dd4dc,2022-02-15 22:46:47
116,e2801170000002161d2dd49b,2022-02-15 22:46:50
117,e2801170000002161d2dd4fc,2022-02-15 22:46:52
118,e2801170000002161d2e2a5b,2022-02-15 22:46:54
119,e2801170000002161d2e2a6b,2022-02-15 22:47:00
120,e2801170000002161d2e3c5b,2022-02-15 22:47:02
121,e2801170000002161d2dc2ac,2022-02-15 22:47:04
122,e2801170000002161d2d6c0d,2022-02-15 22:47:06
123,e2801170000002161d2da05c,2022-02-15 22:47:09
124,e2801170000002161d2dc20c,2022-02-15 22:47:12
125,e2801170000002161d2d5a9c,2022-02-15 22:47:15
126,e2801170000002161d2d5aac,2022-02-15 22:47:17
127,e2801170000002161d2da06c,2022-02-15 22:47:19
128,e2801170000002161d2d5afc,2022-02-15 22:47:21
129,e2801170000002161d2dc2cc,2022-02-15 22:47:26
130,e2801170000002161d2d5aec,2022-02-15 22:47:28
131,e2801170000002161d2dc21d,2022-02-15 22:47:30
132,e2801170000002161d2da04c,2022-02-15 22:47:32
133,e2801170000002161d2d5add,2022-02-15 22:47:35
134,e2801170000002161d2da05d,2022-02-15 22:47:56
135,e2801170000002161d2da00d,2022-02-15 22:48:00
136,e2801170000002161d2dd41c,2022-02-15 22:48:03
137,e2801170000002161d2da09d,2022-02-15 22:48:05
138,e2801170000002161d2da02d,2022-02-15 22:48:07
139,e2801170000002161d2da03d,2022-02-15 22:48:12
140,e2801170000002161d2d5a3d,2022-02-15 22:48:14
141,e2801170000002161d2d5abc,2022-02-15 22:48:16
142,e2801170000002161d2d6cac,2022-02-15 22:48:19
143,e2801170000002161d2e3c2b,2022-02-15 22:48:21
144,e2801170000002161d2e2abb,2022-02-15 22:48:27
145,e2801170000002161d2e2a7b,2022-02-15 22:48:29
146,e2801170000002161d2e08ab,2022-02-15 22:48:31
147,e2801170000002161d2d6c4c,2022-02-15 22:48:34
148,e2801170000002161d2e2adb,2022-02-15 22:48:36
149,e2801170000002161d2e3c0b,2022-02-15 22:48:41
150,e2801170000002161d2dd4eb,2022-02-15 22:48:44
151,e2801170000002161d2d8d74,2022-02-15 22:48:51
152,e2801170000002161d2e2134,2022-02-15 22:48:55
153,e2801170000002161d2e2144,2022-02-15 22:48:57
154,e2801170000002161d2d8df4,2022-02-15 22:49:06
155,e2801170000002161d2df594,2022-02-15 22:49:08
156,e2801170000002161d2ddb64,2022-02-15 22:49:10
157,e2801170000002161d2db934,2022-02-15 22:49:13
158,e2801170000002161d2d7c4e,2022-02-15 22:49:17
159,e2801170000002161d2db944,2022-02-15 22:49:23
160,e2801170000002161d2db924,2022-02-15 22:49:25
161,e2801170000002161d2ddb04,2022-02-15 22:49:28
162,e2801170000002161d2ddbc4,2022-02-15 22:49:30
163,e2801170000002161d2ddb34,2022-02-15 22:49:32
164,e2801170000002161d2ddb84,2022-02-15 22:49:37
165,e2801170000002161d2ddb54,2022-02-15 22:49:41
166,e2801170000002161d2df5d4,2022-02-15 22:49:45
167,e2801170000002161d2ddb44,2022-02-15 22:49:47
168,e2801170000002161d2db9f4,2022-02-15 22:49:50
169,e2801170000002161d2ddb14,2022-02-15 22:49:56
170,e2801170000002161d2db9b4,2022-02-15 22:50:00
171,e2801170000002161d2df554,2022-02-15 22:50:03
172,e2801170000002161d2df524,2022-02-15 22:50:05
173,e2801170000002161d2df514,2022-02-15 22:50:09
174,e2801170000002161d2df544,2022-02-15 22:50:17
175,e2801170000002161d2ddbe4,2022-02-15 22:50:20
176,e2801170000002161d2df504,2022-02-15 22:50:23
177,e2801170000002161d2ddbb4,2022-02-15 22:50:25
178,e2801170000002161d2ddbd4,2022-02-15 22:50:28
179,e2801170000002161d2ddb74,2022-02-15 22:50:30
180,e2801170000002161d2ddb94,2022-02-15 22:50:32
181,e2801170000002161d2db9e4,2022-02-15 22:50:35
182,e2801170000002161d2df5a4,2022-02-15 22:50:38
183,e2801170000002161d2db9d4,2022-02-15 22:50:40
184,e2801170000002161d2db9a4,2022-02-15 22:50:52
185,e2801170000002161d2db9c4,2022-02-15 22:50:54
